%time,impatience,acquiescent,suppressed,resetted,aplicable,motivation (for the robot1/wander behaviour set)
429.96794624,5,0,0,0,1,275
434.97177088,5,0,0,0,1,280
440.02591488,5,0,0,0,1,285
444.95356928,5,0,0,0,1,290
449.96269312,5,0,0,0,1,295
454.95907328,5,0,0,0,1,300
459.9666432,5,0,0,0,1,305
464.96836608,5,0,0,0,1,310
469.96709632,5,0,0,0,1,315
474.96210432,5,0,0,0,1,320
479.95901952,5,0,0,0,1,325
484.9633024,5,0,0,0,1,330
489.9654784,5,0,0,0,1,335
494.96486912,5,0,0,0,1,340
499.96716032,5,0,0,0,1,345
504.95491584,5,0,0,0,1,350
509.97327104,5,1,0,0,1,0
515.01744128,5,0,0,0,1,5
519.95958784,5,0,0,0,1,10
524.9578265600001,5,0,0,0,1,15
529.96181248,5,0,0,0,1,20
534.9619430400001,5,0,0,0,1,25
539.96322304,5,0,0,0,1,30
544.96138752,5,0,0,0,1,35
549.96141056,5,0,0,0,1,40
554.96629504,5,0,0,0,1,45
559.96167424,5,0,0,0,1,50
564.96179712,5,0,0,0,1,55
569.96255232,5,0,0,0,1,60
574.95375872,5,0,0,0,1,65
579.9614336,5,0,0,0,1,70
584.96095744,5,0,0,0,1,75
589.9627776,5,0,0,0,1,80
594.96183296,5,0,0,0,1,85
599.96155648,5,0,0,0,1,90
604.96164864,5,0,0,0,1,95
609.95532288,5,0,0,0,1,100
614.96041472,5,0,0,0,1,105
619.96230656,5,0,0,0,1,110
624.95501056,5,0,0,0,1,115
629.96168448,5,0,0,0,1,120
634.9577497600001,5,0,0,0,1,125
639.95508736,5,0,0,0,1,130
644.96102912,5,0,0,0,1,135
649.9541632,5,0,0,0,1,140
654.9587072,5,0,0,0,1,145
659.95498496,5,0,0,0,1,150
664.95784192,5,0,0,0,1,155
669.95932928,5,0,0,0,1,160
674.96082176,5,0,0,0,1,165
679.96066048,5,0,0,0,1,170
684.94993664,5,0,0,0,1,175
689.95416576,5,0,0,0,1,180
694.958784,5,0,0,0,1,185
699.9591526400001,5,0,0,0,1,190
704.95645184,5,0,0,0,1,195
709.95951872,5,0,0,0,1,200
714.95730432,5,0,0,0,1,205
719.96471552,5,0,0,0,1,210
724.9531699200001,5,0,0,0,1,215
729.95815168,5,0,0,0,1,220
734.9591424,5,0,0,0,1,225
739.96521728,5,0,0,0,1,230
744.96471808,5,0,0,0,1,235
749.95643392,5,0,0,0,1,240
754.9534489600001,5,0,0,0,1,245
759.95566336,5,0,0,0,1,250
764.95419136,5,0,0,0,1,255
769.96288512,5,0,0,0,1,260
774.9612416,5,0,0,0,1,265
779.9604864,5,0,0,0,1,270
784.95483648,5,0,0,0,1,275
789.95749632,5,0,0,0,1,280
794.95729152,5,0,0,0,1,285
799.95768064,5,0,0,0,1,290
804.96527872,5,0,0,0,1,295
809.9562624,5,0,0,0,1,300
814.95275008,5,0,0,0,1,305
819.95431936,5,0,0,0,1,310
824.9639628800001,5,0,0,0,1,315
829.95578368,5,0,0,0,1,320
834.9582976,5,0,0,0,1,325
839.96222464,5,0,0,0,1,330
844.9588556800001,5,0,0,0,1,335
849.95856384,5,0,0,0,1,340
854.95787776,5,0,0,0,1,345
859.9586483200001,5,1,0,0,1,0
864.95791104,5,0,0,0,1,5
869.95452416,5,0,0,0,1,10
874.9488384,5,0,0,0,1,15
879.95316224,5,0,0,0,1,20
884.95563008,5,0,0,0,1,25
889.9508275200001,5,0,0,0,1,30
894.95822848,5,0,0,0,1,35
899.95877632,5,0,0,0,1,40
904.9529984000001,5,0,0,0,1,45
909.96151552,5,0,0,0,0,0
914.95806464,5,0,0,0,0,0
919.95885824,5,0,0,0,0,0
924.95789824,5,0,0,0,0,0
929.95729408,5,0,0,0,0,0
934.9611648,5,0,0,0,0,0
939.9590425600001,5,0,0,0,0,0
944.9659904,5,0,0,0,0,0
949.96146688,5,0,0,0,0,0
954.96082176,5,0,0,0,0,0
959.96087808,5,0,0,0,0,0
965.0245145600001,5,0,0,0,0,0
969.96114688,5,0,0,0,0,0
974.9615232,5,0,0,0,0,0
979.96114944,5,0,0,0,0,0
984.9607244800001,5,0,0,0,0,0
989.96006144,5,0,0,0,0,0
994.96041984,5,0,0,0,0,0
